Variable,Frecuencia
Logic,52
Algorithm,48
Programming,46
Coding,23
Evaluation,19
Creativity,19
Problem solving,16
Abstraction,14
Decomposition,12
Critical thinking,10
Debug,9
Collaboration,8
Generalization,7
Algorithmic thinking,5
Cooperation,3
Modularity,1
