Variable,Frecuencia
Logic,1037
Programming,741
Algorithm,679
Evaluation,357
Coding,267
Creativity,247
Problem solving,228
Critical thinking,177
Collaboration,162
Abstraction,136
Decomposition,81
Generalization,65
Algorithmic thinking,57
Debug,48
Logical thinking,45
Cooperation,27
Modularity,10
