Variable,Frecuencia
Scratch,143
Arduino,27
Alice,10
ScratchJr,5
Minecraft,4
CSUnplugged,1
Robot Turtles,1
Kodable,1
Blockly Games,1
CUBETTO,1
Codecombat,1
Mimo,1
